"","Electors","Candidate","Color"
"741",371,"Democrat","#0000FF"
"742",244,"Republican","#FF0000"
"743",307,"Democrat","#0000FF"
"744",299,"Democrat","#0000FF"
"745",323,"Democrat","#0000FF"
"746",352,"Democrat","#0000FF"
"747",261,"Republican","#FF0000"
"748",212,"Republican","#FF0000"
"749",316,"Democrat","#0000FF"
"750",183,"Republican","#FF0000"
"751",189,"Republican","#FF0000"
"752",254,"Republican","#FF0000"
"753",331,"Democrat","#0000FF"
"754",322,"Democrat","#0000FF"
"755",361,"Democrat","#0000FF"
"756",235,"Republican","#FF0000"
"757",313,"Democrat","#0000FF"
"758",283,"Democrat","#0000FF"
"759",257,"Republican","#FF0000"
"760",286,"Democrat","#0000FF"
"761",282,"Democrat","#0000FF"
"762",374,"Democrat","#0000FF"
"763",305,"Democrat","#0000FF"
"764",376,"Democrat","#0000FF"
"765",433,"Democrat","#0000FF"
"766",318,"Democrat","#0000FF"
"767",252,"Republican","#FF0000"
"768",277,"Democrat","#0000FF"
"769",252,"Republican","#FF0000"
"770",349,"Democrat","#0000FF"
"771",330,"Democrat","#0000FF"
"772",347,"Democrat","#0000FF"
"773",208,"Republican","#FF0000"
"774",276,"Democrat","#0000FF"
"775",228,"Republican","#FF0000"
"776",223,"Republican","#FF0000"
"777",381,"Democrat","#0000FF"
"778",304,"Democrat","#0000FF"
"779",271,"Democrat","#0000FF"
"780",214,"Republican","#FF0000"
"781",406,"Democrat","#0000FF"
"782",202,"Republican","#FF0000"
"783",252,"Republican","#FF0000"
"784",287,"Democrat","#0000FF"
"785",314,"Democrat","#0000FF"
"786",277,"Democrat","#0000FF"
"787",262,"Republican","#FF0000"
"788",169,"Republican","#FF0000"
"789",288,"Democrat","#0000FF"
"790",225,"Republican","#FF0000"
"791",233,"Republican","#FF0000"
"792",192,"Republican","#FF0000"
